ISO3	FID	Country	Perc_Man	Perc_Pow	row_number	percentage_for_electricity_production		-9	1
AFG	2	Afghanistan	100.00	0.00	8	0.00		8	0
ALB	5	Albania	94.27	5.73	11	5.73		11	5.734309475
DZA	3	Algeria	99.60	0.40	57	0.40		57	0.397705438
ASM	9	American Samoa	100.00	0.00	13	0.00		13	0
AND	7	Andorra	100.00	0.00	4	0.00		4	0
AGO	8	Angola	34.66	65.34	5	65.34		5	65.34034023
ATG	1	Antigua and Barbuda	100.00	0.00	9	0.00		9	0
ARG	10	Argentina	29.88	70.12	7	70.12		7	70.11891489
ARM	6	Armenia	87.14	12.86	12	12.86		12	12.86288725
ABW	0	Aruba	100.00	0.00	17	0.00		17	0
AUS	11	Australia	16.91	83.09	15	83.09		15	83.08795427
AUT	12	Austria	58.65	41.35	14	41.35		14	41.35351887
AZE	4	Azerbaijan	29.14	70.86	16	70.86		16	70.85728625
BHS	20	Bahamas	1.64	98.36	32	98.36		32	98.35932638
BHR	15	Bahrain	1.27	98.73	26	98.73		26	98.73498172
BGD	21	Bangladesh	7.28	92.72	21	92.72		21	92.71663604
BRB	16	Barbados	41.50	58.50	20	58.50		20	58.49701655
BLR	27	Belarus	26.26	73.74	34	73.74		34	73.74144285
BEL	19	Belgium	86.43	13.57	19	13.57		19	13.57348915
BLZ	22	Belize	100.00	0.00	35	0.00		35	0
BEN	26	Benin	100.00	0.00	28	0.00		28	0
BMU	18	Bermuda	100.00	0.00	23	0.00		23	0
BTN	30	Bhutan	100.00	0.00	37	0.00		37	0
BOL	24	Bolivia (Plurinational State of)	99.25	0.75	30	0.75		30	0.745988459
BIH	23	Bosnia and Herzegovina	97.26	2.74	18	2.74		18	2.74404708
BWA	17	Botswana	93.80	6.20	33	6.20		33	6.203109758
BRA	29	Brazil	61.45	38.55	31	38.55		31	38.54900637
VGB	238	British Virgin Islands	100.00	0.00	224	0.00		224	0
BRN	33	Brunei Darussalam	88.10	11.90	24	11.90		24	11.89607232
BGR	31	Bulgaria	10.39	89.61	25	89.61		25	89.61402043
BFA	233	Burkina Faso	100.00	0.00	22	0.00		22	0
BDI	34	Burundi	100.00	0.00	27	0.00		27	0
CPV	52	Cabo Verde	100.00	0.00	64	0.00		64	0
KHM	36	Cambodia	34.70	65.30	126	65.30		126	65.30208113
CMR	45	Cameroon	100.00	0.00	50	0.00		50	0
CAN	35	Canada	11.64	88.36	36	88.36		36	88.36301519
CYM	43	Cayman Islands	1.30	98.70	125	98.70		125	98.70445454
CAF	50	Central African Republic	4.18	95.82	40	95.82		40	95.82055855
TCD	37	Chad	100.00	0.00	207	0.00		207	0
JEY	85	Channel Islands	98.74	1.26	115	1.26		115	1.260100588
CHL	42	Chile	7.52	92.48	45	92.48		45	92.48208743
CHN	41	China	35.54	64.46	51	64.46		51	64.45813103
COL	47	Colombia	27.96	72.04	49	72.04		49	72.04094745
COM	46	Comoros	100.00	0.00	128	0.00		128	0
COD	40	Congo Dem Republic	100.00	0.00	46	0.00		46	0
COG	39	Congo Rep	96.32	3.68	41	3.68		41	3.679350877
CRI	49	Costa Rica	61.28	38.72	48	38.72		48	38.71609198
CIV	110	Cote d Ivoire	99.49	0.51	43	0.51		43	0.511436341
HRV	100	Croatia	52.32	47.68	87	47.68		87	47.68005734
CUB	51	Cuba	3.12	96.88	61	96.88		61	96.87946747
CUW	170	Curacao	100.00	0.00	233	0.00		233	0
CYP	54	Cyprus	3.99	96.01	67	96.01		67	96.01207773
CZE	68	Czech Republic	87.61	12.39	68	12.39		68	12.39248963
DNK	55	Denmark	9.89	90.11	52	90.11		52	90.11187631
DJI	56	Djibouti	87.11	12.89	59	12.89		59	12.88979439
DMA	57	Dominica	100.00	0.00	53	0.00		53	0
DOM	59	Dominican Republic	3.80	96.20	56	96.20		56	96.19527976
ECU	60	Ecuador	23.44	76.56	58	76.56		58	76.55506214
EGY	61	Egypt	27.61	72.39	62	72.39		62	72.38880205
SLV	66	El Salvador	100.00	0.00	199	0.00		199	0
GNQ	63	Equatorial Guinea	100.00	0.00	91	0.00		91	0
ERI	65	Eritrea	54.44	45.56	54	45.56		54	45.56359071
EST	64	Estonia	7.54	92.46	60	92.46		60	92.45753752
ETH	67	Ethiopia	100.00	0.00	79	0.00		79	0
FRO	74	Faroe Islands	100.00	0.00	76	0.00		76	0
FJI	71	Fiji	100.00	0.00	81	0.00		81	0
FIN	70	Finland	1.21	98.79	80	98.79		80	98.79460357
FRA	77	France	18.94	81.06	77	81.06		77	81.05867851
PYF	75	French Polynesia	100.00	0.00	1	0.00		1	0
GAB	80	Gabon	23.44	76.56	78	76.56		78	76.56072534
GMB	79	Gambia	100.00	0.00	89	0.00		89	0
GEO	81	Georgia	96.81	3.19	71	3.19		71	3.18999119
DEU	87	Germany	73.27	26.73	69	26.73		69	26.7256081
GHA	82	Ghana	80.01	19.99	73	19.99		73	19.99144411
GIB	83	Gibraltar	100.00	0.00	74	0.00		74	0
GRC	91	Greece	62.23	37.77	63	37.77		63	37.77151485
GRD	84	Grenada	100.00	0.00	70	0.00		70	0
GUM	90	Guam	0.25	99.75	94	99.75		94	99.74838685
GTM	92	Guatemala	99.75	0.25	93	0.25		93	0.253706864
GIN	93	Guinea	100.00	0.00	90	0.00		90	0
GNB	184	Guinea-Bissau	100.00	0.00	96	0.00		96	0
GUY	94	Guyana	100.00	0.00	83	0.00		83	0
HTI	96	Haiti	100.00	0.00	95	0.00		95	0
HND	98	Honduras	98.73	1.27	86	1.27		86	1.271732632
HKG	251	Hong Kong SAR	5.31	94.69	84	94.69		84	94.68856485
HUN	101	Hungary	47.82	52.18	97	52.18		97	52.17913798
ISL	102	Iceland	100.00	0.00	106	0.00		106	0
IND	105	India	65.57	34.43	100	34.43		100	34.42878999
IDN	103	Indonesia	7.47	92.53	98	92.53		98	92.52895047
IRN	107	Iran (Islamic Republic of)	34.04	65.96	105	65.96		105	65.96258997
