x y class_id industrial_water_demand
     -72.875      78.125   88           0
    -9.04167      70.875  195           0
    -24.4583     65.5417  106 1.09339e+08
    -179.958     65.0417  176 1.30975e+11
    -7.45833      62.125   76      600092
       4.625     61.2917  159 1.99419e+09
    -140.958      60.375   36 4.42729e+10
     19.5417      60.125   80 3.03591e+09
     11.0417      58.875  189 2.05516e+09
      21.875     58.2917   60 3.78642e+09
     20.9583     56.5417  122 7.02462e+08
       8.125     55.5417   52 7.81859e+08
     21.0417      55.375  117 5.40633e+09
      -8.125     54.4583  223 1.12687e+10
    -4.79167     54.0417  102 1.79819e+07
     14.2083      52.875  177 1.51452e+10
     23.2083     52.2917   34  2.7778e+09
    -10.4583     52.0417   99 9.54183e+08
    -179.125     51.2917  230 2.58811e+11
       3.375     51.2917  158 7.13891e+09
       5.875     51.0417   69 4.30186e+10
       2.625      50.875   19  1.1683e+10
      12.125     50.2917   68 3.08171e+09
     5.79167      49.875  121 3.78485e+08
      -2.625     49.4583   72 2.24262e+07
    -2.20833     49.2083  115 3.13224e+07
     87.7917      48.875  139 3.39186e+08
     22.2083     48.4583  206 3.03172e+10
     46.5417     48.4583  130 1.30579e+10
      16.875      48.375  212 1.59233e+09
     26.7083     48.2917  147 2.28246e+09
       9.625     47.2083   14 2.33473e+09
     9.54167      47.125  111 1.18181e+07
     16.2083      46.875   97 6.16059e+09
     -56.375     46.7917  173 5.32081e+06
     13.4583     46.2917  194 6.95377e+08
     6.04167     46.2083   42 1.71336e+09
     20.2917      46.125  172 1.69253e+10
     18.9583     45.5417  175 8.93321e+09
     13.5417     45.2083   87 2.60387e+09
     6.70833     45.0417  107 1.83146e+10
     15.7917     44.7917   18 3.81385e+09
     12.4583     43.9583  210 1.23384e+07
      22.375     43.7917   25  1.7652e+10
     145.458     43.7083  253 2.70232e+06
      40.125      43.375   71  2.0562e+09
     18.4583     42.5417  150 3.16852e+08
     1.45833     42.4583    4  4.9746e+07
     56.0417      41.375  249 1.31289e+10
     20.5417     41.2083  138 5.43557e+08
     43.5417     41.0417   12 9.37381e+08
      19.375      40.375   11  2.6213e+08
     25.7083      40.125  217 5.23887e+09
     69.2917     39.7917  123 8.71009e+08
     44.7917     39.7083   16 6.13187e+09
     124.292     39.7083  131 1.36077e+09
     19.7083      39.625   63 2.01848e+09
    -31.2917     39.4583  180  3.3138e+09
     44.0417      39.375  105 2.76463e+09
      73.625     39.2917   51 7.20424e+10
     67.4583     39.2083  198 1.76687e+09
     51.2917      38.875  208 3.50033e+09
     124.625     37.9583  132 1.48638e+10
     14.2083     36.0417  148 5.37634e+07
     72.5417     35.9583  252 3.07185e+08
     77.9583     35.5417  241      131972
     32.2917     35.0417   67 3.02367e+07
     60.5417     33.9583    8 8.41813e+07
     7.54167     33.7917  211  1.4085e+08
      38.875     33.2083  104 3.67319e+09
     35.2083      33.125  109 9.29542e+07
     35.7083     32.7917  200 5.10901e+08
     -64.875     32.2917   23           0
     78.4583     32.2083  242           0
     34.2917     31.2917  179 3.44052e+07
     34.2917     31.2083  101 1.33751e+08
     24.7917     30.0417   62 5.55403e+09
     60.9583     29.7917  169 4.67342e+09
     34.9583     29.4583  119 3.59841e+07
      46.625      29.125  124 4.68162e+07
    -118.292      28.875  135 9.28933e+09
      80.125      28.875  163 9.50098e+07
    -177.375     28.2083  221           0
     34.5417     27.9583  184 2.77036e+08
     -18.125     27.7083   55 1.05503e+10
     -13.125     27.7083  157 3.53809e+08
      91.625     27.5417  244 9.01292e+06
      -8.625     27.2917   57 1.09737e+09
     88.7917      27.125   37 1.07245e+07
     9.45833      26.125  127 1.17603e+08
     50.4583     25.9583   26 3.20971e+06
    -79.2917     25.7083   32 1.96746e+07
     50.7083      25.125  183 1.40816e+07
      88.125     24.5417   21 5.05321e+08
     122.958     24.4583  113 2.81423e+10
      51.625      24.125    3 6.36848e+07
      68.125     23.7083  100 3.73348e+10
     102.208     22.2917  228 4.31182e+09
     113.542     22.2083  140 2.59577e+07
     113.875     22.2083   84 3.62334e+08
      34.125     22.0417  243 3.13731e+06
     33.2917     21.9583  256           0
     -84.875      21.875   61 1.75633e+08
     -72.375     21.7083  204     7491.87
    -17.0417     21.0417   65 5.99221e+07
      92.125     21.0417  146 2.02771e+08
    -17.0417     20.7917  143 3.63511e+07
     100.125     20.2917  108 7.79867e+07
     -81.375     19.2917  125           0
